judge_model,prompt_template,golden_answer_alias_count,judge_score,human_score,score_delta,percent_agreement,scotts_pi,precision,recall,f1,tp,fp,tn,fn,fpr,fnr,invalid_rate,valid_rate,avg_latency_ms,p50_latency_ms,p95_latency_ms,total_estimated_cost
k_exaone_236b_a23b_tuned,guideline_with_examples,1,0.5704225352112676,0.676056338028169,-0.10563380281690138,0.8755868544600939,0.7350792896492246,0.9835390946502057,0.8298611111111112,0.9001883239171374,239,4,134,49,0.028985507246376812,0.1701388888888889,0.004672897196261682,0.9953271028037384,22674.349765258215,12843.0,73993.5,0.7595882
k_exaone_236b_a23b_tuned,guideline_with_examples,2,0.6333333333333333,0.8,-0.16666666666666674,0.8142857142857143,0.5427008012507328,0.9849624060150376,0.7797619047619048,0.8704318936877077,131,2,40,37,0.047619047619047616,0.22023809523809523,0.0,1.0,24192.633333333335,15267.0,68850.54999999999,0.3960956
k_exaone_236b_a23b_tuned,guideline_with_examples,3,0.6979166666666666,0.8020833333333334,-0.10416666666666674,0.8958333333333334,0.7222222222222223,1.0,0.8701298701298701,0.9305555555555556,67,0,19,10,0.0,0.12987012987012986,0.0,1.0,23662.958333333332,13379.0,72896.0,0.20811800000000003
k_exaone_236b_a23b_tuned,guideline_with_examples,4,0.6938775510204082,0.8571428571428571,-0.16326530612244894,0.7959183673469388,0.41387559808612434,0.9705882352941176,0.7857142857142857,0.8684210526315789,33,1,6,9,0.14285714285714285,0.21428571428571427,0.0,1.0,22817.367346938776,15644.0,68491.19999999994,0.1018776
k_exaone_236b_a23b_tuned,guideline_with_examples,5,0.6,0.76,-0.16000000000000003,0.84,0.6323529411764705,1.0,0.7894736842105263,0.8823529411764706,15,0,6,4,0.0,0.21052631578947367,0.0,1.0,19281.16,13020.0,55751.99999999997,0.0453338
k_exaone_236b_a23b_tuned,guideline_with_examples,6,0.7575757575757576,0.8181818181818182,-0.06060606060606066,0.9393939393939394,0.8186813186813189,1.0,0.9259259259259259,0.9615384615384615,25,0,6,2,0.0,0.07407407407407407,0.0,1.0,22646.545454545456,16966.0,60612.99999999998,0.066332
k_exaone_236b_a23b_tuned,guideline_with_examples,7,0.7142857142857143,0.9285714285714286,-0.2142857142857143,0.7857142857142857,0.2695652173913046,1.0,0.7692307692307693,0.8695652173913044,20,0,2,6,0.0,0.23076923076923078,0.034482758620689655,0.9655172413793104,26668.0,19902.0,75578.69999999998,0.0690908
k_exaone_236b_a23b_tuned,guideline_with_examples,8,0.6774193548387096,0.9032258064516129,-0.22580645161290325,0.7741935483870968,0.3186813186813185,1.0,0.75,0.8571428571428571,21,0,3,7,0.0,0.25,0.0,1.0,15814.290322580646,9095.0,47060.5,0.045524400000000007
k_exaone_236b_a23b_tuned,guideline_with_examples,9,0.8421052631578947,0.8421052631578947,0.0,1.0,1.0,1.0,1.0,1.0,16,0,3,0,0.0,0.0,0.05,0.95,19205.315789473683,13252.0,52329.5,0.03408680000000001
k_exaone_236b_a23b_tuned,guideline_with_examples,10,0.7,0.9,-0.20000000000000007,0.8,0.37499999999999983,1.0,0.7777777777777778,0.8750000000000001,14,0,2,4,0.0,0.2222222222222222,0.0,1.0,21108.85,15750.0,41680.85000000005,0.03867179999999999
k_exaone_236b_a23b_tuned,guideline_with_examples,11,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,11,0,0,0,0.0,0.0,0.0,1.0,21942.545454545456,9795.0,76351.5,0.0221906
k_exaone_236b_a23b_tuned,guideline_with_examples,12,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,13,0,0,0,0.0,0.0,0.0,1.0,8970.615384615385,6354.0,19812.999999999993,0.011029000000000002
k_exaone_236b_a23b_tuned,guideline_with_examples,13,0.8571428571428571,0.9285714285714286,-0.07142857142857151,0.9285714285714286,0.6266666666666668,1.0,0.9230769230769231,0.9600000000000001,12,0,1,1,0.0,0.07692307692307693,0.0,1.0,15423.357142857143,14388.5,31113.75,0.0198832
k_exaone_236b_a23b_tuned,guideline_with_examples,14,0.8,0.8666666666666667,-0.06666666666666665,0.9333333333333333,0.76,1.0,0.9230769230769231,0.9600000000000001,12,0,2,1,0.0,0.07692307692307693,0.0,1.0,11284.4,7413.0,32558.79999999999,0.0158656
k_exaone_236b_a23b_tuned,guideline_with_examples,15,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,12,0,0,0,0.0,0.0,0.0,1.0,19803.25,16785.5,43283.25,0.022437
k_exaone_236b_a23b_tuned,guideline_with_examples,16,0.16666666666666666,0.3333333333333333,-0.16666666666666666,0.8333333333333334,0.5555555555555557,1.0,0.5,0.6666666666666666,1,0,4,1,0.0,0.5,0.0,1.0,15752.166666666666,5446.5,43133.75,0.0082888
k_exaone_236b_a23b_tuned,guideline_with_examples,17,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,11,0,0,0,0.0,0.0,0.0,1.0,17904.454545454544,14062.0,37527.0,0.0186978
k_exaone_236b_a23b_tuned,guideline_with_examples,18,0.8461538461538461,0.8461538461538461,0.0,1.0,1.0,1.0,1.0,1.0,11,0,2,0,0.0,0.0,0.0,1.0,19171.923076923078,17462.0,49995.799999999974,0.023813200000000007
k_exaone_236b_a23b_tuned,guideline_with_examples,19,0.4,0.4,0.0,1.0,1.0,1.0,1.0,1.0,2,0,3,0,0.0,0.0,0.0,1.0,35902.6,19372.0,89988.79999999999,0.014963800000000001
k_exaone_236b_a23b_tuned,guideline_with_examples,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6,0,0,0,0.0,0.0,0.0,1.0,9413.5,5476.0,20746.25,0.0054318000000000005
k_exaone_236b_a23b_tuned,guideline_with_examples,21,0.75,0.8333333333333334,-0.08333333333333337,0.9166666666666666,0.7473684210526315,1.0,0.9,0.9473684210526316,9,0,2,1,0.0,0.1,0.0,1.0,25936.666666666668,17260.0,67887.79999999997,0.029469000000000002
k_exaone_236b_a23b_tuned,guideline_with_examples,22,0.8888888888888888,0.8888888888888888,0.0,1.0,1.0,1.0,1.0,1.0,8,0,1,0,0.0,0.0,0.1,0.9,10507.555555555555,6615.0,21642.2,0.008974600000000001
k_exaone_236b_a23b_tuned,guideline_with_examples,23,0.6666666666666666,0.9333333333333333,-0.2666666666666667,0.7333333333333333,0.16666666666666607,1.0,0.7142857142857143,0.8333333333333333,10,0,1,4,0.0,0.2857142857142857,0.0,1.0,32845.4,20666.0,94146.69999999992,0.0348962
k_exaone_236b_a23b_tuned,guideline_with_examples,24,0.625,0.625,0.0,1.0,1.0,1.0,1.0,1.0,5,0,3,0,0.0,0.0,0.0,1.0,16067.125,19338.0,25060.1,0.0123014
k_exaone_236b_a23b_tuned,guideline_with_examples,25,0.6,0.8,-0.20000000000000007,0.8,0.523809523809524,1.0,0.75,0.8571428571428571,3,0,1,1,0.0,0.25,0.0,1.0,10679.2,5077.0,24060.999999999996,0.0050998
k_exaone_236b_a23b_tuned,guideline_with_examples,26,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0,0,0,0.0,0.0,0.25,0.75,15282.333333333334,18423.0,18880.2,0.0043472
k_exaone_236b_a23b_tuned,guideline_with_examples,27,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,11,0,0,0,0.0,0.0,0.0,1.0,19643.909090909092,12022.0,61408.5,0.02086
k_exaone_236b_a23b_tuned,guideline_with_examples,28,0.9285714285714286,0.9285714285714286,0.0,1.0,1.0,1.0,1.0,1.0,13,0,1,0,0.0,0.0,0.0,1.0,16585.5,9752.5,45231.649999999994,0.0220174
k_exaone_236b_a23b_tuned,guideline_with_examples,29,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0,0,0,0.0,0.0,0.0,1.0,5322.0,5107.0,6597.4,0.0016422
k_exaone_236b_a23b_tuned,guideline_with_examples,30,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,5,0,0,0,0.0,0.0,0.0,1.0,10454.2,5478.0,26256.799999999996,0.0051102000000000005
k_exaone_236b_a23b_tuned,guideline_with_examples,31,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,0,0,0,0.0,0.0,0.0,1.0,11912.285714285714,6187.0,30525.699999999986,0.0081262
k_exaone_236b_a23b_tuned,guideline_with_examples,32,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2,0,0,0,0.0,0.0,0.0,1.0,34718.5,34718.5,44770.15,0.0064054
k_exaone_236b_a23b_tuned,guideline_with_examples,33,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2,0,0,0,0.0,0.0,0.0,1.0,6238.0,6238.0,7355.8,0.0011828
k_exaone_236b_a23b_tuned,guideline_with_examples,35,0.6666666666666666,1.0,-0.33333333333333337,0.6666666666666666,-0.20000000000000057,1.0,0.6666666666666666,0.8,2,0,0,1,0.0,0.3333333333333333,0.25,0.75,23149.333333333332,7502.0,52661.299999999996,0.0069646000000000005
k_exaone_236b_a23b_tuned,guideline_with_examples,36,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2,0,0,0,0.0,0.0,0.0,1.0,33575.0,33575.0,43892.6,0.0063342
k_exaone_236b_a23b_tuned,guideline_with_examples,37,0.8333333333333334,1.0,-0.16666666666666663,0.8333333333333334,-0.09090909090908979,1.0,0.8333333333333334,0.9090909090909091,5,0,0,1,0.0,0.16666666666666666,0.0,1.0,35564.333333333336,33428.0,62218.0,0.021139000000000005
k_exaone_236b_a23b_tuned,guideline_with_examples,38,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2,0,0,0,0.0,0.0,0.0,1.0,5682.0,5682.0,6582.9,0.0011562
k_exaone_236b_a23b_tuned,guideline_with_examples,39,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0.0,0.0,0.0,1.0,4540.0,4540.0,4540.0,0.0004886000000000001
k_exaone_236b_a23b_tuned,guideline_with_examples,41,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3,0,0,0,0.0,0.0,0.0,1.0,21837.666666666668,3903.0,52756.799999999996,0.0062634000000000006
k_exaone_236b_a23b_tuned,guideline_with_examples,43,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2,0,0,0,0.0,0.0,0.0,1.0,21630.0,21630.0,33132.0,0.0043196
