judge_model,prompt_template,answer_length_bucket,judge_score,human_score,score_delta,percent_agreement,scotts_pi,precision,recall,f1,tp,fp,tn,fn,fpr,fnr,invalid_rate,valid_rate,avg_latency_ms,p50_latency_ms,p95_latency_ms,total_estimated_cost
gpt_4_1_mini,minimal,long,0.8722044728434505,0.7987220447284346,0.07348242811501593,0.8498402555910544,0.4538231636005867,0.8717948717948718,0.952,0.9101338432122371,238,35,28,12,0.5555555555555556,0.048,0.0,1.0,1304.5750798722045,1177.0,2020.599999999999,0.0437868
gpt_4_1_mini,minimal,medium,0.8379888268156425,0.7988826815642458,0.03910614525139666,0.8938547486033519,0.6428458913100548,0.9133333333333333,0.958041958041958,0.9351535836177474,411,39,69,18,0.3611111111111111,0.04195804195804196,0.0,1.0,1249.4599627560522,1110.0,1949.199999999999,0.0641752
gpt_4_1_mini,minimal,short,0.82,0.7628571428571429,0.05714285714285705,0.8914285714285715,0.6711339696355275,0.8989547038327527,0.9662921348314607,0.9314079422382672,258,29,54,9,0.3493975903614458,0.033707865168539325,0.0,1.0,1197.96,1070.5,1821.8000000000002,0.0441372
gpt_4_1_nano,minimal,long,0.9487179487179487,0.7980769230769231,0.15064102564102555,0.8301282051282052,0.23186621762861492,0.831081081081081,0.9879518072289156,0.9027522935779816,246,50,13,3,0.7936507936507936,0.012048192771084338,0.003194888178913738,0.9968051118210862,904.7628205128206,800.5,1433.7999999999997,0.0103993
gpt_4_1_nano,minimal,medium,0.9180633147113594,0.7988826815642458,0.11918063314711358,0.8249534450651769,0.27962666971115396,0.8397565922920892,0.965034965034965,0.8980477223427332,414,79,29,15,0.7314814814814815,0.03496503496503497,0.0,1.0,878.1359404096834,743.0,1575.6,0.0154058
gpt_4_1_nano,minimal,short,0.92,0.7628571428571429,0.15714285714285714,0.7857142857142857,0.19698985912907782,0.7981366459627329,0.9625468164794008,0.8726655348047538,257,65,18,10,0.7831325301204819,0.03745318352059925,0.0,1.0,914.58,797.0,1432.8500000000001,0.010646300000000001
gpt_5_4_mini,minimal,long,0.8178913738019169,0.7987220447284346,0.019169329073482344,0.8849840255591054,0.6288537549407115,0.91796875,0.94,0.9288537549407114,235,21,42,15,0.3333333333333333,0.06,0.0,1.0,1023.7092651757189,936.0,1355.1999999999998,0.09484500000000001
gpt_5_4_mini,minimal,medium,0.8063314711359404,0.7988826815642458,0.007448789571694592,0.9553072625698324,0.8589502254519985,0.9676674364896074,0.9766899766899767,0.9721577726218098,419,14,94,10,0.12962962962962962,0.023310023310023312,0.0,1.0,971.8733705772812,906.0,1348.0,0.14427374999999998
gpt_5_4_mini,minimal,short,0.7628571428571429,0.7628571428571429,0.0,0.9428571428571428,0.8420648887685572,0.9625468164794008,0.9625468164794008,0.9625468164794008,257,10,73,10,0.12048192771084337,0.03745318352059925,0.0,1.0,1066.7428571428572,901.5,1343.1,0.09670575
gpt_5_4_nano,minimal,long,0.7699680511182109,0.7987220447284346,-0.028753993610223683,0.8753993610223643,0.6316813758768953,0.9377593360995851,0.904,0.9205702647657841,226,15,48,24,0.23809523809523808,0.096,0.0,1.0,1163.5654952076677,1064.0,1646.1999999999998,0.0285592
gpt_5_4_nano,minimal,medium,0.7877094972067039,0.7988826815642458,-0.011173184357541888,0.9366852886405959,0.8069407435604617,0.966903073286052,0.9533799533799534,0.960093896713615,409,14,94,20,0.12962962962962962,0.046620046620046623,0.0,1.0,1099.8249534450651,1002.0,1572.6,0.0411503
gpt_5_4_nano,minimal,short,0.7914285714285715,0.7628571428571429,0.02857142857142858,0.88,0.6535633484162896,0.9061371841155235,0.9400749063670412,0.9227941176470589,251,26,57,16,0.3132530120481928,0.0599250936329588,0.0,1.0,1116.5857142857142,1024.5,1573.1,0.0274283
