ranking_name,judge_model,prompt_template,rank,metric_column,metric_value
primary_scotts_pi,qwen_3_235b,minimal,1,scotts_pi,0.7349734720197433
primary_scotts_pi,llama_3_1_8b,minimal,2,scotts_pi,0.46980617383811407
percent_agreement,qwen_3_235b,minimal,1,percent_agreement,0.9091666666666667
percent_agreement,llama_3_1_8b,minimal,2,percent_agreement,0.8098827470686767
absolute_score_gap,qwen_3_235b,minimal,1,score_delta,0.015833333333333366
absolute_score_gap,llama_3_1_8b,minimal,2,score_delta,0.047738693467336724
false_positive_rate,qwen_3_235b,minimal,1,fpr,0.17716535433070865
false_positive_rate,llama_3_1_8b,minimal,2,fpr,0.3386454183266932
false_negative_rate,qwen_3_235b,minimal,1,fnr,0.06765327695560254
false_negative_rate,llama_3_1_8b,minimal,2,fnr,0.15058324496288442
precision,qwen_3_235b,minimal,1,precision,0.9514563106796117
precision,llama_3_1_8b,minimal,2,precision,0.9040632054176072
recall,qwen_3_235b,minimal,1,recall,0.9323467230443975
recall,llama_3_1_8b,minimal,2,recall,0.8494167550371156
f1,qwen_3_235b,minimal,1,f1,0.9418045915643353
f1,llama_3_1_8b,minimal,2,f1,0.8758884636413339
