judge_model,prompt_template,answer_source,judge_score,human_score,score_delta,percent_agreement,scotts_pi,precision,recall,f1,tp,fp,tn,fn,fpr,fnr,invalid_rate,valid_rate,avg_latency_ms,p50_latency_ms,p95_latency_ms,total_estimated_cost
gpt_4_1_mini,minimal,chatgpt,0.849802371541502,0.7905138339920948,0.059288537549407105,0.8695652173913043,0.5578445650734807,0.8883720930232558,0.955,0.9204819277108434,191,24,29,9,0.4528301886792453,0.045,0.0,1.0,1268.3162055335968,1120.0,2061.999999999998,0.031508800000000003
gpt_4_1_mini,minimal,fid,0.8109243697478992,0.7478991596638656,0.06302521008403361,0.8865546218487395,0.6700808625336926,0.8911917098445595,0.9662921348314607,0.9272237196765498,172,21,39,6,0.35,0.033707865168539325,0.0,1.0,1206.7941176470588,1073.5,1815.3999999999996,0.027844400000000005
gpt_4_1_mini,minimal,gpt35,0.7868217054263565,0.7286821705426356,0.05813953488372092,0.8798449612403101,0.6727161125319693,0.8866995073891626,0.9574468085106383,0.9207161125319694,180,23,47,8,0.32857142857142857,0.0425531914893617,0.0,1.0,1256.5116279069769,1118.5,1923.5999999999963,0.03270920000000001
gpt_4_1_mini,minimal,gpt4,0.8888888888888888,0.8564814814814815,0.03240740740740733,0.9027777777777778,0.562478900409935,0.9270833333333334,0.9621621621621622,0.9442970822281168,178,14,17,7,0.45161290322580644,0.03783783783783784,0.0,1.0,1255.2546296296296,1103.5,2063.75,0.026536000000000004
gpt_4_1_mini,minimal,newbing,0.8808510638297873,0.8297872340425532,0.051063829787234116,0.8723404255319149,0.4841966637401231,0.8985507246376812,0.9538461538461539,0.9253731343283582,186,21,19,9,0.525,0.046153846153846156,0.0,1.0,1256.0085106382978,1137.0,1930.5,0.0335008
gpt_4_1_nano,minimal,chatgpt,0.9367588932806324,0.7905138339920948,0.1462450592885376,0.8221343873517787,0.2448512585812358,0.8270042194092827,0.98,0.897025171624714,196,41,12,4,0.7735849056603774,0.02,0.0,1.0,880.7154150197629,773.0,1551.1999999999991,0.007541200000000001
gpt_4_1_nano,minimal,fid,0.9243697478991597,0.7478991596638656,0.17647058823529416,0.7647058823529411,0.1413477644633418,0.7772727272727272,0.9606741573033708,0.8592964824120601,171,49,11,7,0.8166666666666667,0.03932584269662921,0.0,1.0,900.2016806722689,797.0,1399.15,0.0067187
gpt_4_1_nano,minimal,gpt35,0.9069767441860465,0.7286821705426356,0.17829457364341084,0.7751937984496124,0.24553796511041653,0.7777777777777778,0.9680851063829787,0.8625592417061613,182,52,18,6,0.7428571428571429,0.031914893617021274,0.0,1.0,924.2751937984497,760.0,1546.1999999999998,0.007702500000000001
gpt_4_1_nano,minimal,gpt4,0.9259259259259259,0.8564814814814815,0.06944444444444442,0.8657407407407407,0.30765404807957997,0.89,0.9621621621621622,0.9246753246753247,178,22,9,7,0.7096774193548387,0.03783783783783784,0.0,1.0,871.1898148148148,760.5,1458.5,0.0064612
gpt_4_1_nano,minimal,newbing,0.9401709401709402,0.8290598290598291,0.11111111111111105,0.8547008547008547,0.288244766505636,0.8636363636363636,0.979381443298969,0.9178743961352657,190,30,10,4,0.75,0.020618556701030927,0.00425531914893617,0.9957446808510638,898.457264957265,784.0,1642.3499999999997,0.008027800000000002
