judge_model,prompt_template,answer_length_bucket,judge_score,human_score,score_delta,percent_agreement,scotts_pi,precision,recall,f1,tp,fp,tn,fn,fpr,fnr,invalid_rate,valid_rate,avg_latency_ms,p50_latency_ms,p95_latency_ms,total_estimated_cost
gemma_3_12b,minimal,long,0.9041533546325878,0.7987220447284346,0.10543130990415328,0.8562300319488818,0.431701264903468,0.8621908127208481,0.976,0.9155722326454034,244,39,24,6,0.6190476190476191,0.024,0.0,1.0,3898.85303514377,3008.0,8966.8,0.0
gemma_3_12b,minimal,medium,0.8824626865671642,0.7985074626865671,0.08395522388059706,0.8861940298507462,0.5755723010819687,0.8879492600422833,0.9813084112149533,0.9322974472807991,420,53,55,8,0.49074074074074076,0.018691588785046728,0.00186219739292365,0.9981378026070763,3966.143656716418,3029.5,9591.75,0.0
gemma_3_12b,minimal,short,0.8342857142857143,0.7628571428571429,0.0714285714285714,0.9114285714285715,0.7246856722363898,0.9041095890410958,0.9887640449438202,0.9445438282647585,264,28,55,3,0.3373493975903614,0.011235955056179775,0.0,1.0,3792.9657142857145,2969.5,9341.650000000001,0.0
gemma_3_27b,minimal,long,0.8146964856230032,0.7987220447284346,0.015974440894568676,0.9009584664536742,0.6824155142787007,0.9294117647058824,0.948,0.9386138613861386,237,18,45,13,0.2857142857142857,0.052,0.0,1.0,2186.670926517572,2135.0,2764.2,0.0
gemma_3_27b,minimal,medium,0.7914338919925512,0.7988826815642458,-0.007448789571694592,0.9404096834264432,0.8170747285501382,0.9670588235294117,0.958041958041958,0.9625292740046838,411,14,94,18,0.12962962962962962,0.04195804195804196,0.0,1.0,2077.0316573556797,2011.0,2689.6,0.0
gemma_3_27b,minimal,short,0.7628571428571429,0.7628571428571429,0.0,0.9142857142857143,0.7630973331528359,0.9438202247191011,0.9438202247191011,0.9438202247191011,252,15,68,15,0.18072289156626506,0.056179775280898875,0.0,1.0,2057.902857142857,2001.0,2729.55,0.0
gemma_4_26b,minimal,long,0.8161290322580645,0.8032258064516129,0.012903225806451646,0.896774193548387,0.665068539401715,0.9288537549407114,0.9437751004016064,0.9362549800796812,235,18,43,14,0.29508196721311475,0.05622489959839357,0.009584664536741214,0.9904153354632588,10911.593548387096,7600.0,24038.30000000002,0.0
gemma_4_26b,minimal,medium,0.8123827392120075,0.8030018761726079,0.009380863039399667,0.9530956848030019,0.8490127758420442,0.9653579676674365,0.9766355140186916,0.9709639953542394,418,15,90,10,0.14285714285714285,0.02336448598130841,0.0074487895716946,0.9925512104283054,7976.502814258912,6338.0,15309.999999999998,0.0
gemma_4_26b,minimal,short,0.7729885057471264,0.7672413793103449,0.005747126436781547,0.9655172413793104,0.9026119402985076,0.9739776951672863,0.9812734082397003,0.9776119402985075,262,7,74,5,0.08641975308641975,0.018726591760299626,0.005714285714285714,0.9942857142857143,7342.767241379311,5973.5,15280.599999999999,0.0
gemma_4_31b,minimal,long,0.8213058419243986,0.8041237113402062,0.01718213058419238,0.8797250859106529,0.6049033108986169,0.9163179916317992,0.9358974358974359,0.9260042283298097,219,20,37,15,0.3508771929824561,0.0641025641025641,0.07028753993610223,0.9297124600638977,10151.86941580756,8178.0,20405.5,0.0
gemma_4_31b,minimal,medium,0.8145161290322581,0.7983870967741935,0.016129032258064613,0.9516129032258065,0.8450000000000002,0.9603960396039604,0.9797979797979798,0.9700000000000001,388,16,84,8,0.16,0.020202020202020204,0.07635009310986965,0.9236499068901304,8274.987903225807,6997.0,14739.25,0.0
gemma_4_31b,minimal,short,0.794392523364486,0.7663551401869159,0.028037383177570097,0.9532710280373832,0.8636769015161168,0.9529411764705882,0.9878048780487805,0.9700598802395209,243,12,63,3,0.16,0.012195121951219513,0.08285714285714285,0.9171428571428571,8000.688473520249,7018.0,14177.0,0.0
