judge_model,prompt_template,answer_source,judge_score,human_score,score_delta,percent_agreement,scotts_pi,precision,recall,f1,tp,fp,tn,fn,fpr,fnr,invalid_rate,valid_rate,avg_latency_ms,p50_latency_ms,p95_latency_ms,total_estimated_cost
google-gemma-4-E2B-it,guideline,chatgpt,0.7777777777777778,0.6666666666666666,0.11111111111111116,0.8888888888888888,0.723076923076923,0.8571428571428571,1.0,0.923076923076923,6,1,2,0,0.3333333333333333,0.0,0.0,1.0,833.6666666666666,634.0,1589.9999999999995,0.0
google-gemma-4-E2B-it,guideline,fid,0.8333333333333334,0.6666666666666666,0.16666666666666674,0.8333333333333334,0.5555555555555557,0.8,1.0,0.888888888888889,4,1,1,0,0.5,0.0,0.0,1.0,557.1666666666666,485.5,866.0,0.0
google-gemma-4-E2B-it,guideline,gpt35,1.0,0.5,0.5,0.5,-0.3333333333333333,0.5,1.0,0.6666666666666666,1,1,0,0,1.0,0.0,0.0,1.0,901.5,901.5,1200.75,0.0
google-gemma-4-E2B-it,guideline,gpt4,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0.0,0.0,0.0,1.0,696.0,696.0,696.0,0.0
google-gemma-4-E2B-it,guideline,newbing,1.0,0.5,0.5,0.5,-0.3333333333333333,0.5,1.0,0.6666666666666666,1,1,0,0,1.0,0.0,0.0,1.0,935.0,935.0,1061.9,0.0
google-gemma-4-E2B-it,guideline_with_examples,chatgpt,0.6666666666666666,0.6666666666666666,0.0,0.7777777777777778,0.5,0.8333333333333334,0.8333333333333334,0.8333333333333334,5,1,2,1,0.3333333333333333,0.16666666666666666,0.0,1.0,905.0,827.0,1788.5999999999995,0.0
google-gemma-4-E2B-it,guideline_with_examples,fid,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.24999999999999986,0.75,0.75,0.75,3,1,1,1,0.5,0.25,0.0,1.0,480.8333333333333,463.0,681.5,0.0
google-gemma-4-E2B-it,guideline_with_examples,gpt35,1.0,0.5,0.5,0.5,-0.3333333333333333,0.5,1.0,0.6666666666666666,1,1,0,0,1.0,0.0,0.0,1.0,853.5,853.5,1064.55,0.0
google-gemma-4-E2B-it,guideline_with_examples,gpt4,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0.0,0.0,0.0,1.0,686.0,686.0,686.0,0.0
google-gemma-4-E2B-it,guideline_with_examples,newbing,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1,0,1,0,0.0,0.0,0.0,1.0,554.5,554.5,681.85,0.0
google-gemma-4-E2B-it,minimal,chatgpt,1.0,0.6666666666666666,0.33333333333333337,0.6666666666666666,-0.20000000000000057,0.6666666666666666,1.0,0.8,6,3,0,0,1.0,0.0,0.0,1.0,804.1111111111111,851.0,1042.2,0.0
google-gemma-4-E2B-it,minimal,fid,1.0,0.6666666666666666,0.33333333333333337,0.6666666666666666,-0.20000000000000057,0.6666666666666666,1.0,0.8,4,2,0,0,1.0,0.0,0.0,1.0,690.6666666666666,649.5,1164.5,0.0
google-gemma-4-E2B-it,minimal,gpt35,1.0,0.5,0.5,0.5,-0.3333333333333333,0.5,1.0,0.6666666666666666,1,1,0,0,1.0,0.0,0.0,1.0,837.5,837.5,1095.35,0.0
google-gemma-4-E2B-it,minimal,gpt4,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0.0,0.0,0.0,1.0,465.0,465.0,465.0,0.0
google-gemma-4-E2B-it,minimal,newbing,1.0,0.5,0.5,0.5,-0.3333333333333333,0.5,1.0,0.6666666666666666,1,1,0,0,1.0,0.0,0.0,1.0,593.0,593.0,613.7,0.0
