judge_model,prompt_template,golden_answer_alias_count,judge_score,human_score,score_delta,percent_agreement,scotts_pi,precision,recall,f1,tp,fp,tn,fn,fpr,fnr,invalid_rate,valid_rate,avg_latency_ms,p50_latency_ms,p95_latency_ms,total_estimated_cost
gpt_4_1_mini,minimal,1,0.8014018691588785,0.6752336448598131,0.12616822429906538,0.8177570093457944,0.5283679927667272,0.8075801749271136,0.9584775086505191,0.8765822784810126,277,66,73,12,0.4748201438848921,0.04152249134948097,0.0,1.0,1237.0257009345794,1087.5,1867.6499999999996,0.0413388
gpt_4_1_mini,minimal,2,0.8095238095238095,0.8,0.00952380952380949,0.8761904761904762,0.6060037523452158,0.9176470588235294,0.9285714285714286,0.923076923076923,156,14,28,12,0.3333333333333333,0.07142857142857142,0.0,1.0,1295.0666666666666,1171.0,2185.7499999999995,0.021418000000000003
gpt_4_1_mini,minimal,3,0.78125,0.8020833333333334,-0.02083333333333337,0.9166666666666666,0.7473684210526315,0.96,0.935064935064935,0.9473684210526316,72,3,16,5,0.15789473684210525,0.06493506493506493,0.0,1.0,1180.4895833333333,1080.0,1698.0,0.010264
gpt_4_1_mini,minimal,4,0.8367346938775511,0.8571428571428571,-0.020408163265306034,0.8979591836734694,0.6064257028112447,0.9512195121951219,0.9285714285714286,0.9397590361445782,39,2,5,3,0.2857142857142857,0.07142857142857142,0.0,1.0,1298.3877551020407,1188.0,2274.999999999997,0.005608400000000001
gpt_4_1_mini,minimal,5,0.8,0.76,0.040000000000000036,0.96,0.8834498834498833,0.95,1.0,0.9743589743589743,19,1,5,0,0.16666666666666666,0.0,0.0,1.0,1275.12,1245.0,1674.7999999999997,0.0031772
gpt_4_1_mini,minimal,6,0.8787878787878788,0.8181818181818182,0.06060606060606055,0.9393939393939394,0.7642857142857143,0.9310344827586207,1.0,0.9642857142857143,27,2,4,0,0.3333333333333333,0.0,0.0,1.0,1156.7878787878788,1094.0,1748.9999999999995,0.004032000000000001
gpt_4_1_mini,minimal,7,0.9655172413793104,0.896551724137931,0.06896551724137934,0.8620689655172413,-0.0740740740740749,0.8928571428571429,0.9615384615384616,0.9259259259259259,25,3,0,1,1.0,0.038461538461538464,0.0,1.0,1295.0344827586207,1122.0,2587.1999999999985,0.00341
gpt_4_1_mini,minimal,8,0.9032258064516129,0.9032258064516129,0.0,0.8709677419354839,0.2619047619047624,0.9285714285714286,0.9285714285714286,0.9285714285714286,26,2,1,2,0.6666666666666666,0.07142857142857142,0.0,1.0,1271.1935483870968,1197.0,2170.0,0.004148000000000001
gpt_4_1_mini,minimal,9,0.85,0.85,0.0,0.9,0.6078431372549022,0.9411764705882353,0.9411764705882353,0.9411764705882353,16,1,2,1,0.3333333333333333,0.058823529411764705,0.0,1.0,1299.3,1214.5,1821.95,0.0028248
gpt_4_1_mini,minimal,10,0.9,0.9,0.0,1.0,1.0,1.0,1.0,1.0,18,0,2,0,0.0,0.0,0.0,1.0,1205.65,1073.5,1813.650000000001,0.0027420000000000005
gpt_4_1_mini,minimal,11,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,11,0,0,0,0.0,0.0,0.0,1.0,1098.4545454545455,1157.0,1384.5,0.0015184000000000003
gpt_4_1_mini,minimal,12,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,13,0,0,0,0.0,0.0,0.0,1.0,1447.076923076923,994.0,3106.7999999999956,0.0018856
gpt_4_1_mini,minimal,13,1.0,0.9285714285714286,0.0714285714285714,0.9285714285714286,-0.03703703703703835,0.9285714285714286,1.0,0.962962962962963,13,1,0,0,1.0,0.0,0.0,1.0,1140.4285714285713,1076.5,1664.3999999999999,0.0020244000000000004
gpt_4_1_mini,minimal,14,0.9333333333333333,0.8666666666666667,0.06666666666666665,0.9333333333333333,0.6296296296296295,0.9285714285714286,1.0,0.962962962962963,13,1,1,0,0.5,0.0,0.0,1.0,1154.6,1052.0,1623.3999999999999,0.0023452
gpt_4_1_mini,minimal,15,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,12,0,0,0,0.0,0.0,0.0,1.0,1207.4166666666667,1072.5,1851.6999999999998,0.0019392000000000003
gpt_4_1_mini,minimal,16,0.16666666666666666,0.3333333333333333,-0.16666666666666666,0.8333333333333334,0.5555555555555557,1.0,0.5,0.6666666666666666,1,0,4,1,0.0,0.5,0.0,1.0,1348.0,1109.0,2361.25,0.0009256000000000002
gpt_4_1_mini,minimal,17,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,11,0,0,0,0.0,0.0,0.0,1.0,1264.5454545454545,1218.0,1750.5,0.0018824
gpt_4_1_mini,minimal,18,0.9230769230769231,0.8461538461538461,0.07692307692307698,0.9230769230769231,0.6231884057971018,0.9166666666666666,1.0,0.9565217391304348,11,1,1,0,0.5,0.0,0.0,1.0,1467.6923076923076,1278.0,2572.2,0.00233
gpt_4_1_mini,minimal,19,0.6,0.4,0.19999999999999996,0.8,0.6000000000000001,0.6666666666666666,1.0,0.8,2,1,2,0,0.3333333333333333,0.0,0.0,1.0,1354.6,1314.0,1635.8,0.000884
